question_id,compressed_tags
3886,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3887,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3888,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3889,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3890,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3891,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3892,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3893,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3894,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3895,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3896,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3897,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3898,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3899,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3900,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3901,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3902,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3903,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3904,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
3905,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3906,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3907,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3908,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3909,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3910,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3911,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3912,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3913,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3914,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3915,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3916,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3917,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3918,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3919,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3920,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3921,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3922,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3923,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3924,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3925,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3926,[ -1.0667248   2.89386   -16.192      15.223728 ]
3927,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
3928,[ -1.0667248   2.89386   -16.192      15.223728 ]
3929,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
3930,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
3931,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
3932,[  1.7637935  -7.1838894 -12.099872    4.8516126]
3933,[-7.069173   1.7219808 -3.794051  11.688458 ]
3934,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
3935,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
3936,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
3937,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
3938,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
3939,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3940,[ -3.4545217   5.14447   -12.862743    8.74075  ]
3941,[-5.2747884  5.678006  -9.009404  16.215416 ]
3942,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3943,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3944,[ -1.2888736  -1.5246786 -15.706625   10.960189 ]
3945,[ 4.0495796 -3.6529553 -2.7104058 12.521364 ]
3946,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
3947,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3948,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
3949,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3950,[ -0.501781   4.944282 -11.080901  14.511455]
3951,[  1.7637935  -7.1838894 -12.099872    4.8516126]
3952,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
3953,[  7.9515915  -4.874186  -10.180444   10.610601 ]
3954,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
3955,[-4.2929783  2.6437821 -5.07219   16.036623 ]
3956,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3957,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
3958,[ 3.918083  -6.1012025 -6.482709   5.3941936]
3959,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3960,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
3961,[-8.579489   2.3254158 -9.707349   7.0578976]
3962,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3963,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
3964,[  5.386413   -2.8524148 -12.497684    8.698572 ]
3965,[-4.2929783  2.6437821 -5.07219   16.036623 ]
3966,[-4.8662696 -0.59682   -7.8816795 18.318394 ]
3967,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
3968,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
3969,[-3.5718842  0.3158295 -9.099739   5.197341 ]
3970,[-3.5718842  0.3158295 -9.099739   5.197341 ]
3971,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
3972,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
3973,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
3974,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
3975,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
3976,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
3977,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
3978,[ 7.939931 -1.646586 -6.656557 13.075308]
3979,[ 7.939931 -1.646586 -6.656557 13.075308]
3980,[ 7.939931 -1.646586 -6.656557 13.075308]
3981,[ 7.939931 -1.646586 -6.656557 13.075308]
3982,[ 7.939931 -1.646586 -6.656557 13.075308]
3983,[ 7.939931 -1.646586 -6.656557 13.075308]
3984,[ 7.939931 -1.646586 -6.656557 13.075308]
3985,[-8.579489   2.3254158 -9.707349   7.0578976]
3986,[ 7.939931 -1.646586 -6.656557 13.075308]
3987,[ 7.939931 -1.646586 -6.656557 13.075308]
3988,[-6.348617   4.932143  -9.625047   7.5021715]
3989,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3990,[-6.348617   4.932143  -9.625047   7.5021715]
3991,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3992,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3993,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3994,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3995,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3996,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
3997,[-9.508319  -0.4008917 -8.624312  10.312655 ]
3998,[-6.348617   4.932143  -9.625047   7.5021715]
3999,[ 7.939931 -1.646586 -6.656557 13.075308]
4000,[ -0.501781   4.944282 -11.080901  14.511455]
4001,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4002,[  7.2718873 -11.349173   -9.064242   13.568281 ]
4003,[ -0.501781   4.944282 -11.080901  14.511455]
4004,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4005,[  4.3893986  -6.420666  -14.581098   12.943837 ]
4006,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4007,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4008,[  7.2718873 -11.349173   -9.064242   13.568281 ]
4009,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4010,[ -0.501781   4.944282 -11.080901  14.511455]
4011,[  7.2718873 -11.349173   -9.064242   13.568281 ]
4012,[ -0.501781   4.944282 -11.080901  14.511455]
4013,[ -0.501781   4.944282 -11.080901  14.511455]
4014,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4015,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4016,[-7.069173   1.7219808 -3.794051  11.688458 ]
4017,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4018,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4019,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4020,[-7.069173   1.7219808 -3.794051  11.688458 ]
4021,[-7.069173   1.7219808 -3.794051  11.688458 ]
4022,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4023,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4024,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4025,[  4.3893986  -6.420666  -14.581098   12.943837 ]
4026,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4027,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4028,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4029,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4030,[ -0.501781   4.944282 -11.080901  14.511455]
4031,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4032,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4033,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4034,[-0.32593238 -5.192604   -4.8804154   8.193493  ]
4035,[  7.2718873 -11.349173   -9.064242   13.568281 ]
4036,[ 0.2467605 -4.8618293 -6.4171915 15.561402 ]
4037,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4038,[ 0.2467605 -4.8618293 -6.4171915 15.561402 ]
4039,[ -0.6781827  -0.948161  -16.430569   17.379158 ]
4040,[-5.2747884  5.678006  -9.009404  16.215416 ]
4041,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4042,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4043,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
4044,[ -0.501781   4.944282 -11.080901  14.511455]
4045,[-3.6415436 -1.8662196 -2.1582778  7.957313 ]
4046,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4047,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4048,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4049,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4050,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4051,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4052,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4053,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4054,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4055,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4056,[-3.5718842  0.3158295 -9.099739   5.197341 ]
4057,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4058,[ 0.5477593  3.7376192 -6.7298875 15.773495 ]
4059,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4060,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4061,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4062,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4063,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4064,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4065,[-1.5830405 -1.7436498 -9.920728  18.586905 ]
4066,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4067,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
4068,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4069,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4070,[ -2.6632674   1.6530972 -18.45063    10.886201 ]
4071,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4072,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4073,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4074,[-5.0656233 -7.237841  -9.080285  13.62906  ]
4075,[ 7.939931 -1.646586 -6.656557 13.075308]
4076,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4077,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4078,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4079,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4080,[-5.2747884  5.678006  -9.009404  16.215416 ]
4081,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
4082,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4083,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4084,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4085,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4086,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4087,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4088,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4089,[ -2.3532498  -4.840944  -13.718849    5.1366816]
4090,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4091,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4092,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4093,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4094,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4095,[-5.2747884  5.678006  -9.009404  16.215416 ]
4096,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4097,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4098,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4099,[ -5.1672597  -2.797984  -17.710592   11.148254 ]
4100,[ -3.045804   -2.6278117 -12.286877   12.208301 ]
4101,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4102,[ -2.6632674   1.6530972 -18.45063    10.886201 ]
4103,[ 3.7458124 -0.6057652 -7.623918  10.309574 ]
4104,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4105,[ 4.0495796 -3.6529553 -2.7104058 12.521364 ]
4106,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4107,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4108,[-1.3542719  1.0094748 -9.268804  22.691128 ]
4109,[ 7.939931 -1.646586 -6.656557 13.075308]
4110,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4111,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4112,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4113,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4114,[ -3.1491334   3.8445044 -14.34125    12.995315 ]
4115,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4116,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4117,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
4118,[ 0.2467605 -4.8618293 -6.4171915 15.561402 ]
4119,[-5.2747884  5.678006  -9.009404  16.215416 ]
4120,[ 4.0495796 -3.6529553 -2.7104058 12.521364 ]
4121,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4122,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4123,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
4124,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4125,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4126,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4127,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4128,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4129,[ -7.10844      0.07215974 -14.3294325    4.90706   ]
4130,[ -1.2888736  -1.5246786 -15.706625   10.960189 ]
4131,[ 7.939931 -1.646586 -6.656557 13.075308]
4132,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4133,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4134,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4135,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4136,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4137,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4138,[ -5.1672597  -2.797984  -17.710592   11.148254 ]
4139,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4140,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4141,[-2.9329672 -2.7978199 -5.0399065  6.063674 ]
4142,[ 3.7458124 -0.6057652 -7.623918  10.309574 ]
4143,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4144,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4145,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4146,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4147,[ 4.0495796 -3.6529553 -2.7104058 12.521364 ]
4148,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4149,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4150,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4151,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4152,[-4.3653197  2.2251422 -6.158037   8.979199 ]
4153,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4154,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
4155,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4156,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4157,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4158,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4159,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4160,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4161,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4162,[ -1.0667248   2.89386   -16.192      15.223728 ]
4163,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4164,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4165,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4166,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4167,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4168,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4169,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4170,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4171,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4172,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4173,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4174,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4175,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4176,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4177,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4178,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4179,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4180,[-8.285489  4.002625 -7.0648    9.550105]
4181,[-8.285489  4.002625 -7.0648    9.550105]
4182,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4183,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4184,[-8.285489  4.002625 -7.0648    9.550105]
4185,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4186,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4187,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4188,[ -6.1827264  -4.4053993 -13.57642     8.614465 ]
4189,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4190,[-8.285489  4.002625 -7.0648    9.550105]
4191,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4192,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4193,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4194,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4195,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4196,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4197,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4198,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4199,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4200,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4201,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4202,[-8.285489  4.002625 -7.0648    9.550105]
4203,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4204,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4205,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4206,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4207,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4208,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4209,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4210,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4211,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4212,[ -5.522545     0.78144467 -16.470537    14.189909  ]
4213,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4214,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4215,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4216,[ -3.1929443  -2.7143998 -12.830558   12.466048 ]
4217,[  4.3893986  -6.420666  -14.581098   12.943837 ]
4218,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4219,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4220,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4221,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4222,[ 0.61557895 -0.319351   -3.0931904   8.947162  ]
4223,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4224,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4225,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4226,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4227,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
4228,[ -2.6632674   1.6530972 -18.45063    10.886201 ]
4229,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4230,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4231,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4232,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4233,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4234,[  3.7661018 -12.135404  -11.054521    8.422123 ]
4235,[ -3.0792406  -0.7867961 -16.067783    6.0078025]
4236,[ -2.6632674   1.6530972 -18.45063    10.886201 ]
4237,[ -8.287116    -0.11937818 -10.794919    16.037415  ]
4238,[ 0.7378013 -2.7703762 -1.0847621  9.344522 ]
4239,[ -6.1827264  -4.4053993 -13.57642     8.614465 ]
4240,[ -3.3025167   3.2482107 -12.105771   17.629538 ]
4241,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4242,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4243,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4244,[-1.5830405 -1.7436498 -9.920728  18.586905 ]
4245,[ 3.2527514  3.0557094 -9.351904  16.231386 ]
4246,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4247,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4248,[ -8.938825    -0.06994626 -13.218215    10.502257  ]
4249,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4250,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4251,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4252,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4253,[ -0.1099531 -10.215543  -13.876679    9.401913 ]
4254,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4255,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4256,[ 3.7458124 -0.6057652 -7.623918  10.309574 ]
4257,[ -0.1099531 -10.215543  -13.876679    9.401913 ]
4258,[ -5.914035    -0.89804244 -14.207633    18.97123   ]
4259,[ 3.7458124 -0.6057652 -7.623918  10.309574 ]
4260,[ 3.7458124 -0.6057652 -7.623918  10.309574 ]
4261,[ -3.045804   -2.6278117 -12.286877   12.208301 ]
4262,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4263,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4264,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4265,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4266,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4267,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4268,[ 4.192824   -0.21549003 -5.321143   19.468807  ]
4269,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4270,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4271,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4272,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4273,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4274,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4275,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4276,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4277,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4278,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4279,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4280,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4281,[ -5.3567915  -9.892921  -17.8541      9.933311 ]
4282,[  7.9515915  -4.874186  -10.180444   10.610601 ]
4283,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4284,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4285,[ -1.2012172  -6.8311934 -17.956364    9.983602 ]
4286,[-3.5718842  0.3158295 -9.099739   5.197341 ]
4287,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4288,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4289,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4290,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4291,[-4.2929783  2.6437821 -5.07219   16.036623 ]
4292,[-4.3653197  2.2251422 -6.158037   8.979199 ]
4293,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4294,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4295,[-9.508319  -0.4008917 -8.624312  10.312655 ]
4296,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4297,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4298,[  1.7637935  -7.1838894 -12.099872    4.8516126]
4299,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4300,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4301,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4302,[ -6.1827264  -4.4053993 -13.57642     8.614465 ]
4303,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4304,[-1.8063712 -5.10513   -2.1627297  6.84822  ]
4305,[ -3.4545217   5.14447   -12.862743    8.74075  ]
4306,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4307,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4308,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4309,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4310,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4311,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4312,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4313,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4314,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4315,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4316,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4317,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4318,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4319,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4320,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4321,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4322,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4323,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4324,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4325,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4326,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4327,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4328,[  5.386413   -2.8524148 -12.497684    8.698572 ]
4329,[ 3.918083  -6.1012025 -6.482709   5.3941936]
4330,[  5.386413   -2.8524148 -12.497684    8.698572 ]
